drug_name,brand_name,ndc_name,product_strength_desc,route_desc,source_nm
penicillin,V-Cillin K (obsolete),2032902,V potassium 250 mg,oral,tablet
penicillin,V-Cillin K (obsolete),2032903,V potassium 250 mg,oral,tablet
penicillin,V-Cillin K (obsolete),2034602,V potassium 500 mg,oral,tablet
penicillin,V-Cillin K (obsolete),2034603,V potassium 500 mg,oral,tablet
tobramycin,Nebcin Pediatric,2050101,10 mg/mL,injectable,solution
tobramycin,Nebcin,2050301,40 mg/mL,injectable,solution
tobramycin,Nebcin,2050324,40 mg/mL,injectable,solution
tobramycin,Nebcin,2050901,40 mg/mL,injectable,solution
tobramycin,Nebcin,2050924,40 mg/mL,injectable,solution
vancomycin,Vancocin HCl,2144401,500 mg,intravenous,powder for injection
vancomycin,Vancocin HCl,2144410,500 mg,intravenous,powder for injection
vancomycin,Vancocin HCl,2144425,500 mg,intravenous,powder for injection
ceFAZolin,Kefzol,2149725,500 mg,injectable,powder for injection
ceFAZolin,Kefzol,2149801,1 g,injectable,powder for injection
ceFAZolin,Kefzol,2149825,1 g,injectable,powder for injection
tobramycin,Nebcin,2149901,40 mg/mL,injectable,solution
tobramycin,Nebcin,2149925,40 mg/mL,injectable,solution
penicillin,V-Cillin K (obsolete),2231648,V potassium 250 mg/5 mL,oral,powder for reconstitution
penicillin,V-Cillin K (obsolete),2231668,V potassium 250 mg/5 mL,oral,powder for reconstitution
penicillin,V-Cillin K (obsolete),2231689,V potassium 250 mg/5 mL,oral,powder for reconstitution
vancomycin,Vancocin HCl,2237237,500 mg/6 mL,oral,powder for reconstitution
methenamine,Methenamine Mandelate,2253502,mandelate 1 g,oral,tablet
cefaclor,Ceclor Pulvules,2306102,250 mg,oral,capsule
cefaclor,Ceclor Pulvules,2306115,250 mg,oral,capsule
cefaclor,Ceclor Pulvules,2306133,250 mg,oral,capsule
cefaclor,Ceclor Pulvules,2306202,500 mg,oral,capsule
cefaclor,Ceclor Pulvules,2306215,500 mg,oral,capsule
cefaclor,Ceclor Pulvules,2306233,500 mg,oral,capsule
vancomycin,Vancocin HCl Pulvules,2312542,125 mg,oral,capsule
vancomycin,Vancocin HCl Pulvules,2312642,250 mg,oral,capsule
loracarbef,Lorabid Pulvules,2317002,200 mg,oral,capsule
loracarbef,Lorabid Pulvules,2317030,200 mg,oral,capsule
loracarbef,Lorabid Pulvules,2317102,400 mg,oral,capsule
loracarbef,Lorabid Pulvules,2317130,400 mg,oral,capsule
cefaclor,Ceclor,2505718,125 mg/5 mL,oral,powder for reconstitution
cefaclor,Ceclor,2505768,125 mg/5 mL,oral,powder for reconstitution
cefaclor,Ceclor,2505818,250 mg/5 mL,oral,powder for reconstitution
