diagnosis_cd,flag,description,On Jeff's List?,Consistent with Jeff's List?
A01.00,Abx Exception,,,
A02.20,Abx Exception,,,
A04.4,Abx Exception,Other intestinal Escherichia coli infections,,
A04.5,Abx Exception,Campylobacter enteritis,,
A04.6,Abx Exception,Enteritis due to Yersinia enterocolitica,,
A04.71,Abx Exception,,,
A04.72,Abx Exception,,,
A04.9,Abx Exception,"Bacterial intestinal infection, unspecified",,
A05.1,Abx Exception,Botulism,,
A05.5,Abx Exception,,,
A05.8,Abx Exception,Other specified bacterial foodborne intoxications,,
A05.9,Abx Exception,"Bacterial foodborne intoxication, unspecified",,
A06.0,Abx Exception,Acute amoebic dysentery,,
A06.81,Abx Exception,,,
A07.0,Abx Exception,Balantidiasis,,
A07.1,Abx Exception,Giardiasis [lambliasis],,
A07.2,Abx Exception,Cryptosporidiosis,,
A07.4,Abx Exception,,,
A07.8,Abx Exception,Other specified protozoal intestinal diseases,,
A08.0,Abx Exception,Rotaviral enteritis,,
A08.11,Abx Exception,,,
A08.19,Abx Exception,,,
A08.2,Abx Exception,Adenoviral enteritis,,
A08.32,Abx Exception,,,
A08.39,Abx Exception,,,
A08.4,Abx Exception,"Viral intestinal infection, unspecified",,
A09,Abx Exception,Other gastroenteritis and colitis of infectious and unspecified origin,,
A35,Abx Exception,Other tetanus,,
A37.00,Abx Exception,,,
A37.01,Abx Exception,,,
A37.90,Abx Exception,,,
A38.9,Abx Exception,,,
A40.1,Abx Exception,"Sepsis due to streptococcus, group B",,
A40.3,Abx Exception,Sepsis due to Streptococcus pneumoniae,,
A40.8,Abx Exception,Other streptococcal sepsis,,
A41.1,Abx Exception,Sepsis due to other specified staphylococcus,,
A41.2,Abx Exception,Sepsis due to unspecified staphylococcus,,
A41.89,Abx Exception,,,
A44.9,Abx Exception,"Bartonellosis, unspecified",,
A46,Abx Exception,Erysipelas,,
A48.3,Abx Exception,Toxic shock syndrome,,
A48.8,Abx Exception,Other specified bacterial diseases,,
A49.01,Abx Exception,,,
A49.02,Abx Exception,,,
A49.1,Abx Exception,"Streptococcal infection, unspecified site",,
A49.2,Abx Exception,"Haemophilus influenzae infection, unspecified site",,
A49.3,Abx Exception,"Mycoplasma infection, unspecified site",,
A49.8,Abx Exception,Other bacterial infections of unspecified site,,
A49.9,Abx Exception,"Bacterial infection, unspecified",,
B30.1,GB,Conjunctivitis due to adenovirus,No,
B30.2,GB,Viral pharyngoconjunctivitis,No,
B30.3,GB,Acute epidemic haemorrhagic conjunctivitis (enteroviral),No,
B30.8,GB,Other viral conjunctivitis,No,
B30.9,GB,"Viral conjunctivitis, unspecified",No,
B33.8,GB,Other specified viral diseases,No,
B34.0,GB,"Adenovirus infection, unspecified site",,Listed only as B34 - viral infection of unspecified site 
B34.1,GB,"Enterovirus infection, unspecified site",,
B34.3,GB,"Parvovirus infection, unspecified site",,
B34.8,GB,Other viral infections of unspecified site,,
B34.9,GB,"Viral infection, unspecified",,
B35.0,GB,Tinea barbae and tinea capitis,No,
B35.1,GB,Tinea unguium,No,
B35.2,GB,Tinea manuum,No,
B35.3,GB,Tinea pedis,No,
B35.4,GB,Tinea corporis,No,
B35.5,GB,Tinea imbricata,No,
B35.6,GB,Tinea cruris,No,
B35.8,GB,Other dermatophytoses,No,
B35.9,GB,"Dermatophytosis, unspecified",No,
B36.0,GB,Pityriasis versicolor,No,
B36.1,GB,Tinea nigra,No,
B36.9,GB,"Superficial mycosis, unspecified",No,
B37.0,GB,Candidal stomatitis,No,
B37.2,GB,Candidiasis of skin and nail,No,
B37.3,GB,Candidiasis of vulva and vagina,No,
B37.41,GB,,No,
B37.42,GB,,No,
B37.49,GB,,No,
B37.7,GB,Candidal sepsis,No,
B37.81,GB,,No,
B37.82,GB,,No,
B37.83,GB,,No,
B37.84,GB,,No,
B37.89,GB,,No,
B37.9,GB,"Candidiasis, unspecified",No,
B97.89,GB,,Yes,
C84.00,Abx Exception,,,
D80.9,Abx Exception,"Immunodeficiency with predominantly antibody defects, unspecified",,
D84.1,Abx Exception,Defects in the complement system,,
D86.0,Abx Exception,Sarcoidosis of lung,,
D86.9,Abx Exception,"Sarcoidosis, unspecified",,
D89.9,Abx Exception,"Disorder involving the immune mechanism, unspecified",,
E10.21,Abx Exception,,,
E10.59,Abx Exception,,,
E10.649,Abx Exception,,,
E10.65,Abx Exception,,,
E10.69,Abx Exception,,,
E10.8,Abx Exception,Type 1 diabetes mellitus: With unspecified complications,,
E10.9,Abx Exception,Type 1 diabetes mellitus: Without complications,,
E11.00,Abx Exception,,,
E11.21,Abx Exception,,,
E11.22,Abx Exception,,,
E11.29,Abx Exception,,,
E11.3292,Abx Exception,,,
E11.40,Abx Exception,,,
E11.41,Abx Exception,,,
E11.610,Abx Exception,,,
