NDC,is_abx
3074950,1
3081240,1
4197101,1
5313523,1
5314423,1
5531356,1
5534323,1
7518015,1
9022501,1
9022502,1
9033102,1
9039514,1
9076004,1
15727150,1
25182131,1
25183131,1
25194234,1
25194250,1
26851248,1
26858141,1
29152522,1
29152603,1
29152722,1
29600439,1
29607112,1
29608522,1
29609422,1
29609628,1
44210070,1
45006555,
45152010,
47061524,
47078824,
48210070,
49096077,
54003621,
54003721,
64400006,
69095050,
69097065,
69097193,
69239001,
69305034,
69305050,
69305107,
69306030,
69306075,
69307030,
69307075,
69311019,
69312019,
69324115,
71006720,
74258611,
74316313,
84053328,
85173301,
88105020,
93101042,
93107334,
93107853,
93117201,
93117401,
93202623,
93202723,
93213001,
93213101,
93213356,
93213456,
93223801,
93224001,
93226301,
93226401,
93226701,
93226801,
93227034,
93227234,
93227434,
93227534,
93227973,
93310701,
93310905,
93312301,
93312501,
93314501,
93314701,
93316006,
93316501,
93316753,
93317101,
93319601,
93405953,
93412573,
93412773,
93413664,
93413764,
93415073,
93415573,
93416073,
93416173,
93417064,
93417573,
93417773,
93714609,
93714656,
93716933,
93716956,
93724406,
93729153,
93749034,
93867574,
113006764,
115132713,
115164301,
115164501,
143203701,
143211205,
143314150,
143314205,
143985925,
143992701,
143992950,
143998601,
149000705,
149071001,
149073515,
168001104,
168002109,
168021560,
168021630,
168038204,
173038700,
173040600,
173074000,
178049906,
185012201,
228289611,
247003015,
247118102,
295122395,
299382230,
316033310,
378174389,
378303001,
378453201,
378453391,
378602101,
378602389,
409120703,
456430001,
472199208,
501370401,
501371205,
501373001,
501379801,
527133601,
527138104,
527138201,
527138301,
591041001,
591041150,
591081046,
591219045,
591247401,
591247501,
591252101,
591280560,
591315301,
591368401,
591521505,
591569401,
591569550,
591612560,
713062231,
713068215,
713068315,
777144101,
777414302,
781149668,
781187431,
781194133,
781194339,
781214401,
781214501,
781538601,
781543820,
781543901,
781579001,
781579101,
781579220,
781602346,
781620346,
13668048750,
13925050401,
13925050501,
16110025904,
16714040001,
16714040101,
16781040060,
16781040360,
17478074102,
23155006625,
24338010203,
24338010403,
24338010413,
24338010620,
24338011013,
24338011413,
24338012013,
24338012603,
27437005101,
27437020108,
27437020702,
27437020808,
35573003060,
38779000603,
40076041530,
42192013606,
42192013901,
42192015610,
42546017516,
43598000351,
43598000451,
43598000614,
43598001251,
43598002028,
43598002114,
43598020451,
43598067450,
44001032105,
47781049105,
50096050302,
50419075401,
50419075801,
50419077701,
50419078801,
50458092050,
50458092550,
50458093020,
51079062381,
51862055806,
51862055930,
51927384400,
52427028501,
52427028701,
52427028801,
54162001709,
54868615400,
55111012506,
58463001201,
59630011210,
59630011505,
59762305101,
61570013120,
62332001850,
63323013011,
65557020730,
65649030302,
66993081530,
67877025520,
68180039201,
68180039301,
68462056417,
68682046730,
69489011160,
99207046010,
99207046530,
99207046630,
99207046730,
